h,w,time,iterations
7,5,0.865701,5140
7,5,4.85266,28136
7,5,6.59972,38398
7,5,3.52418,20452
7,5,4.20019,24298
7,5,5.20466,30115
7,5,0.0637162,372
7,5,4.79526,27599
7,5,0.521521,3076
7,5,6.43743,37557
7,5,13.3512,77540
7,5,8.3316,48262
7,5,8.3802,48585
7,5,0.163734,935
7,5,9.41677,54803
7,5,12.2349,71177
7,5,33.1073,192320
7,5,11.1439,64799
7,5,0.427213,2544
7,5,5.65603,32586
7,5,6.41351,37388
7,5,13.4003,77427
7,5,7.15696,41458
7,5,0.35091,2008
7,5,11.218,65092
7,5,9.06065,52802
7,5,0.39489,2289
7,5,12.2236,70806
7,5,1.71807,10052
7,5,3.46081,19976
7,5,5.36185,31074
7,5,4.83484,28119
7,5,24.9689,145286
7,5,26.0464,151301
7,5,6.10526,35358
7,5,4.43104,25647
7,5,17.9195,103865
7,5,11.5449,67249
7,5,7.01442,40750
7,5,0.0215377,121
7,5,6.87819,40113
7,5,17.1388,99655
7,5,18.2213,106103
7,5,0.135051,761
7,5,4.34371,25312
7,5,0.157659,910
7,6,2.66306,15062
7,6,8.95474,50416
7,6,15.4755,87233
7,6,4.5124,25505
7,6,0.877842,4959
7,6,2.2138,12509
7,6,12.7911,71711
7,6,32.0477,180677
7,6,12.0413,67763
7,6,0.897393,4984
7,6,6.94274,39201
7,6,12.6976,71658
7,6,8.85519,49911
7,6,10.9288,61727
7,6,9.6118,54355
7,6,10.1463,57349
7,6,5.64428,31823
7,6,5.19747,29026
7,6,5.19047,29252
7,6,9.99,56002
7,6,2.55619,14314
7,6,6.42574,35870
7,6,8.80693,49486
7,6,6.86982,38571
7,6,5.68793,31787
7,6,17.0169,95916
7,6,15.7841,88547
7,6,12.9536,73200
7,6,7.46049,42177
7,6,13.923,78403
7,6,10.5908,59395
7,6,4.62487,26144
7,6,12.6029,71158
7,6,17.1246,96767
7,6,8.38818,47320
7,6,6.66135,37672
7,6,0.458591,2620
7,6,5.70116,32024
7,6,5.53528,31192
7,6,11.6761,65575
7,6,6.89567,38970
7,6,9.01001,50641
7,6,11.7038,65807
7,6,6.24503,34942
7,6,5.85664,32870
7,6,12.1371,68413
7,6,4.23654,23641
7,6,7.75763,43722
7,6,13.2883,74867
7,6,10.8332,61155
7,7,11.3536,59212
7,7,9.66304,51039
7,7,10.8663,57444
7,7,10.5364,55580
7,7,5.7668,30326
7,7,6.17317,32500
7,7,16.5878,87198
7,7,5.83133,30762
7,7,8.03332,42463
7,7,1.81016,9552
7,7,5.32653,28019
7,7,14.6944,78034
7,7,10.4031,54885
7,7,13.7722,72966
7,7,7.51347,39733
7,7,11.0703,58455
7,7,12.9781,68848
7,7,11.1033,58872
7,7,11.0255,58135
7,7,9.55164,50261
7,7,13.9217,73750
7,7,8.40649,44506
7,7,10.636,55572
7,7,9.98382,52705
7,7,6.9743,36703
7,7,10.281,54450
7,7,17.188,90311
7,7,13.6831,72127
7,7,11.6566,61879
7,7,10.48,55132
7,7,8.58159,45419
7,7,52.4984,278367
7,7,1.65579,8709
7,7,20.1464,106460
7,7,12.5905,66625
7,7,13.1918,70076
7,7,25.639,135850
7,7,5.21024,27572
7,7,12.8986,68715
7,7,3.11102,16632
7,7,31.9276,168668
7,7,9.17423,48735
7,7,8.02992,42183
7,7,9.85158,52176
7,7,12.4777,65863
7,7,7.10521,37623
7,7,5.3538,28194
7,7,19.0599,100581
7,7,5.84528,31103
7,7,2.06559,10896
8,5,3.13099,17655
8,5,6.14272,34834
8,5,0.735665,4145
8,5,0.737137,4273
8,5,5.8545,33001
8,5,24.5852,139383
8,5,1.90221,10794
8,5,39.2365,223110
8,5,9.75862,54896
8,5,11.2927,64166
8,5,4.86742,27569
8,5,6.75726,38712
8,5,5.90802,33354
8,5,17.1883,97246
8,5,7.89145,44737
8,5,12.1026,68501
8,5,6.24588,35425
8,5,10.2273,58260
8,5,7.94985,45184
8,5,3.20194,18115
8,5,5.64043,31938
8,5,6.74304,38328
8,5,9.04869,51447
8,5,7.83191,44426
8,5,9.75261,55445
8,5,18.2397,103421
8,5,26.2264,148891
8,5,7.12507,40116
8,5,4.9339,27992
8,5,0.332935,1872
8,5,9.25883,52603
8,5,11.5511,65635
8,5,20.4491,116178
8,5,10.7871,61693
8,5,6.01725,34176
8,5,7.32705,41419
8,5,7.7803,44144
8,5,7.65122,43335
8,5,2.23412,12572
8,5,9.8245,55753
8,5,0.659189,3756
8,5,6.06443,34267
8,5,5.53251,31501
8,5,9.32315,52916
8,5,11.871,67383
8,5,6.99393,39455
8,5,8.29989,47260
8,5,0.412222,2327
8,5,12.1073,68559
8,5,11.3238,64332
8,6,12.4755,65817
8,6,4.72622,25123
8,6,8.45291,45104
8,6,43.4894,231073
8,6,0.373159,2003
8,6,6.66626,35563
8,6,8.28529,44040
8,6,8.59444,45768
8,6,31.3831,166874
8,6,7.80991,41129
8,6,14.2887,75739
8,6,17.0476,90429
8,6,11.4202,60638
8,6,8.07168,42565
8,6,9.32427,49360
8,6,11.214,59181
8,6,12.1922,64469
8,6,3.22183,17073
8,6,25.9366,136928
8,6,12.1289,64343
8,6,2.71345,14180
8,6,10.5582,56199
8,6,20.0727,106386
8,6,10.6033,56000
8,6,15.7274,83600
8,6,16.8853,89872
8,6,12.6803,67396
8,6,6.4236,34256
8,6,2.90071,15540
8,6,0.136329,731
8,6,11.4478,61140
8,6,13.6781,72778
8,6,13.6797,72933
8,6,12.2176,64975
8,6,8.19425,43638
8,6,4.0076,21295
8,6,7.16077,37956
8,6,8.89849,47037
8,6,12.6294,67006
8,6,7.90859,42098
8,6,13.9566,73997
8,6,20.2965,107830
8,6,12.0944,64021
8,6,9.01914,48081
8,6,75.2117,404325
8,6,10.8375,57412
8,6,17.7469,94569
8,6,4.50304,23763
8,6,4.34413,22961
8,6,10.2114,54266
8,7,2.67337,13687
8,7,9.64923,49091
8,7,15.9279,81765
8,7,16.899,85764
8,7,7.40598,37764
8,7,12.2266,62305
8,7,8.15866,41591
8,7,14.3947,73661
