type,cpu,time,iterations
1,1,10.0474,76571
0,1,10.4105,89871
1,1,46.5882,375575
0,1,39.7981,321826
1,1,0.621059,5153
0,1,48.5231,377796
1,1,0.00744233,0
0,1,25.2012,199912
1,1,5.49438,42483
0,2,12.111,83950
1,2,4.63608,32566
0,2,60.1724,426958
1,2,0.0712817,0
0,2,0.0300033,146
1,2,0.399915,2853
0,2,0.449848,3523
1,2,0.0160463,69
0,2,5.0841,37764
1,2,1.51231,11810
0,4,7.85108,47412
1,4,1.13232,4815
0,4,1.9192,8485
1,4,0.46412,1339
0,4,0.533049,3279
1,4,14.0231,87151
0,4,0.593853,3067
1,4,1.95034,11814
0,4,7.85167,51797
1,4,6.60824,43161
0,6,0.0679136,96
1,6,0.813033,4394
0,6,25.5095,108889
1,6,37.1532,151940
0,6,1.00988,5847
1,6,3.74785,21827
0,6,3.61902,11580
1,6,10.3904,45851
0,6,0.910211,3793
1,6,95.0989,348991
0,8,6.09549,15775
1,8,3.20587,8657
0,8,4.38756,11753
1,8,14.4549,39873
0,8,1.34169,4274
1,8,3.93803,13867
0,8,0.397359,11281
1,8,4.31336,12717
0,12,4.21168,11811
1,12,8.86792,25618
0,12,0.0512427,0
1,12,1.02372,3190
0,12,4.47968,13093
1,12,0.985157,2952
0,12,13.8536,38659
1,12,10.9271,31936
0,12,0.546227,1000
1,12,8.78302,25490
0,16,2.81864,6947
1,16,7.05472,17997
0,16,15.9393,38724
1,16,2.32908,5822
0,16,15.5097,37624
1,16,26.6635,66987
0,16,4.15481,10134
1,16,7.22773,18432
0,16,0.861498,2065
1,16,38.2881,95551
0,24,2.10336,3611
1,24,0.391921,712
0,24,2.5892,4180
1,24,7.04111,12264
0,24,0.247188,0
1,24,14.7728,25946
0,24,6.51931,11045
1,24,0.802281,1241
0,24,7.3269,12059
1,24,10.4412,17537
0,32,3.99588,5181
1,32,1.40872,1882
0,32,10.2843,13269
1,32,2.42149,3297
0,32,0.137177,127
1,32,4.21823,5621
0,32,0.756343,715
1,32,2.6228,3352
0,32,1.97397,2621
1,32,0.145143,30
0,0,0.209306,3000
1,0,28.3381,340219
0,0,13.1327,159058
1,0,0.703567,8887
0,0,22.0649,272030
1,0,0.148592,1137
0,0,22.3053,266002
1,0,6.25688,83330
0,0,20.1171,253830
1,0,23.3991,294822
0,1,0.623921,5090
1,1,83.8331,658038
0,1,160.285,1218757
1,1,56.1731,451156
0,1,0.857438,6190
1,1,1.71462,14392
0,1,0.00517092,0
1,1,0.00575335,0
0,1,0.958859,8645
1,1,2.10017,17911
0,2,3.72014,29164
1,2,0.911456,6719
0,2,0.999733,6752
1,2,19.8888,153765
0,2,0.212608,1346
1,2,1.99254,14034
0,2,3.99067,32643
1,2,19.849,154636
0,2,1.99889,13113
1,2,0.0314405,0
